statement_id,publication_date,panel_type,poll_title,question_label,confidence_weighted_direction,confidence_weighted_score,confidence_weighted_consensus_percentile,weighted_share_agree,weighted_share_disagree,weighted_share_uncertain,statement_text,poll_url
us-science-funding__question-b,2026-04-15,US,Science Funding,Question B,Agree,0.950000,92.07,0.970000,0.000000,0.020000,Historical federal support for scientific research has paid for itself through a substantial positive effect on long-run US productivity growth.,https://kentclarkcenter.org/surveys/science-funding/
us-fogel-on-slavery-2__question-a,2013-06-21,US,Fogel on Slavery,Question A,Agree,0.940000,91.31,0.970000,0.000000,0.030000,"Slavery in the United States was eradicated because of social and political events, not because it was an unprofitable institution for slaveholders.",https://kentclarkcenter.org/surveys/fogel-on-slavery-2/
us-economic-stimulus-revisited__question-a,2014-07-29,US,Economic Stimulus (revisited),Question A,Agree,0.940000,91.31,0.970000,0.030000,0.000000,"Because of the American Recovery and Reinvestment Act of 2009, the U.S. unemployment rate was lower at the end of 2010 than it would have been without the stimulus bill. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found here .)",https://kentclarkcenter.org/surveys/economic-stimulus-revisited/
us-u-s-state-budgets-revisited__question-a,2014-08-26,US,U.S. State Budgets (revisited),Question A,Agree,0.940000,91.31,0.960000,0.020000,0.020000,"By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers. (The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found here .)",https://kentclarkcenter.org/surveys/u-s-state-budgets-revisited/
us-tax-reforms__question-a,2017-05-02,US,Tax Reforms,Question A,Agree,0.940000,91.31,0.970000,0.000000,0.030000,"Since 1980, whenever substantial growth effects have been required to make a tax reform plan revenue neutral, the actual outcome has invariably been a fall in tax revenue as a share of GDP.",https://kentclarkcenter.org/surveys/tax-reforms/
us-policy-for-the-covid-19-crisis__question-a,2020-03-27,US,Policy for the COVID-19 Crisis,Question A,Agree,0.940000,91.31,0.970000,0.000000,0.030000,A comprehensive policy response to the coronavirus will involve tolerating a very large contraction in economic activity until the spread of infections has dropped significantly.,https://kentclarkcenter.org/surveys/policy-for-the-covid-19-crisis/
europe-natural-experiments-in-labor-economics-and-beyond__question-a,2021-10-21,Europe,Natural Experiments in Labor Economics and Beyond,Question A,Agree,0.940000,91.31,0.970000,0.000000,0.030000,The introduction of natural experiments to economic analysis of the labor market and related areas has led to a more precise understanding of cause and effect.,https://kentclarkcenter.org/surveys/natural-experiments-in-labor-economics-and-beyond/
us-expectations-policy-and-growth__question-a,2023-05-31,US,"Expectations, Policy and Growth",Question A,Agree,0.940000,91.31,0.970000,0.030000,0.000000,"When evaluating the consequences of any shifts in economic policy regimes, it is essential to consider potential changes in the behavior of economic agents due to revised expectations.",https://kentclarkcenter.org/surveys/expectations-policy-and-growth/
finance-short-selling-and-asset-values__question-a,2024-03-26,Finance,Short Selling and Asset Values,Question A,Agree,0.940000,91.31,0.970000,0.000000,0.030000,"Allowing short selling of financial securities, such as stocks and government bonds, leads to prices that, on average, are closer to their fundamental values.",https://kentclarkcenter.org/surveys/short-selling-and-asset-values/
europe-foreign-aid-2__question-b,2025-04-09,Europe,Foreign Aid,Question B,Agree,0.940000,91.31,0.970000,0.000000,0.030000,The reductions in Western programs of development assistance will have substantially negative effects on the most vulnerable people in the recipient countries over the next five years.,https://kentclarkcenter.org/surveys/foreign-aid-2/
europe-emissions-regulation-2__question-a,2026-02-26,Europe,Emissions Regulation,Question A,Agree,0.940000,91.31,0.970000,0.030000,0.000000,"US regulation of greenhouse gases – including carbon dioxide from motor vehicles and power plants, and methane from oil and gas wells – rests on the Clean Air Act. The Environmental Protection Agency (EPA) recently announced its rescission of the greenhouse gas endangerment finding and motor vehicle greenhouse gas emission standards: https://www.epa.gov/regulations-emissions-vehicles-and-engines/final-rule-rescission-greenhouse-gas-endangerment . The President of the National Academy of Sciences subsequently wrote to the organization's members, noting that 'the EPA justified its decision on legal, economic, and regulatory opinions, and not on the science’. The weight of economic analysis and evidence supports the conclusion that some form of regulation of greenhouse gas emissions is warranted.",https://kentclarkcenter.org/surveys/emissions-regulation-2/
europe-emissions-regulation-2__question-c,2026-02-26,Europe,Emissions Regulation,Question C,Agree,0.940000,91.31,0.970000,0.030000,0.010000,"Since the environmental costs of greenhouse gas emissions are globally distributed, some form of collective international regulation is warranted.",https://kentclarkcenter.org/surveys/emissions-regulation-2/
us-healthcare__question-a,2011-11-21,US,Healthcare,Question A,Disagree,0.940000,91.31,0.000000,0.970000,0.030000,There are no consequential distortions created by the tax preference that favors obtaining health insurance through employers.,https://kentclarkcenter.org/surveys/healthcare/
europe-bankers-bonus-cap__question-a,2022-10-04,Europe,Bankers’ Bonus Cap,Question A,Disagree,0.940000,91.31,0.000000,0.970000,0.030000,The UK’s removal of the cap on bankers' bonuses (introduced by the EU in 2014 and which limits payouts to two times annual base salary) will provide a measurable boost to the country’s economic growth.,https://kentclarkcenter.org/surveys/bankers-bonus-cap/
us-fiscal-cliff__question-a,2012-06-05,US,Fiscal Cliff,Question A,Agree,0.930000,90.24,0.960000,0.010000,0.030000,"If the fiscal changes that are planned under current US law take place next year — including Bush era tax cuts expiring, Medicare payment rates to doctors being cut, the AMT applying to many more taxpayers, and automatic cuts in defense and non-defense discretionary spending kicking in — then US real GDP growth in 2013 will be lower than it would be under the CBO's alternative fiscal scenario , in which the above changes do not occur.",https://kentclarkcenter.org/surveys/fiscal-cliff/
us-taxing-capital-and-labor__question-a,2012-10-09,US,Taxing Capital and Labor,Question A,Agree,0.930000,90.24,0.960000,0.030000,0.010000,"One drawback of taxing capital income at a lower rate than labor income is that it gives people incentives to relabel income that policymakers find hard to categorize as ""capital"" rather than labor"".",https://kentclarkcenter.org/surveys/taxing-capital-and-labor/
us-bureau-of-labor-statistics__question-a,2016-04-12,US,Bureau of Labor Statistics,Question A,Agree,0.930000,90.24,0.960000,0.010000,0.030000,"By providing important measures of US economic performance — including employment, consumer prices, wages, job openings, time allocation in households, and productivity — the Bureau of Labor Statistics creates social benefits that exceed its annual cost of roughly $610 million.",https://kentclarkcenter.org/surveys/bureau-of-labor-statistics/
europe-congestion-pricing-2__question-a,2016-12-07,Europe,Congestion Pricing,Question A,Agree,0.930000,90.24,0.970000,0.000000,0.040000,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off.",https://kentclarkcenter.org/surveys/congestion-pricing-2/
us-natural-experiments-in-labor-economics-and-beyond-2__question-a,2021-10-21,US,Natural Experiments in Labor Economics and Beyond,Question A,Agree,0.930000,90.24,0.960000,0.030000,0.000000,The introduction of natural experiments to economic analysis of the labor market and related areas has led to a more precise understanding of cause and effect.,https://kentclarkcenter.org/surveys/natural-experiments-in-labor-economics-and-beyond-2/
europe-banks-and-financial-crises-2__question-a,2022-10-18,Europe,Banks and Financial Crises,Question A,Agree,0.930000,90.24,0.960000,0.030000,0.010000,Research on the nature and impact of bank runs has made it possible to limit the occurrence of financial crises and the economic damage they cause.,https://kentclarkcenter.org/surveys/banks-and-financial-crises-2/
us-election-economic-policy-ideas__question-b,2024-09-10,US,Election Economic Policy Ideas,Question B,Agree,0.930000,90.24,0.960000,0.030000,0.010000,"Imposing tariffs results in a substantial portion of the tariffs being borne by consumers of the country that enacts the tariffs, through price increases.",https://kentclarkcenter.org/surveys/election-economic-policy-ideas/
finance-the-us-treasury-market__question-a,2025-04-23,Finance,The US Treasury Market,Question A,Agree,0.930000,90.24,0.960000,0.030000,0.000000,Foreign demand for US treasury securities results in substantially lower interest rates on these instruments.,https://kentclarkcenter.org/surveys/the-us-treasury-market/
europe-european-capital-markets__question-c,2025-06-05,Europe,European Capital Markets,Question C,Agree,0.930000,90.24,0.970000,0.040000,0.000000,"A well-functioning and efficient single EU capital market requires a strengthened European Securities and Markets Authority, comparable to the US Securities and Exchange Commission, to operate as a single market regulator.",https://kentclarkcenter.org/surveys/european-capital-markets/
europe-digital-privacy__question-a,2025-12-17,Europe,Digital Privacy,Question A,Agree,0.930000,90.24,0.960000,0.000000,0.030000,The potential for consumer privacy to be compromised by digital platforms’ use of personal data is sufficient to justify regulations that assign consumers some kind of default control rights over their data.,https://kentclarkcenter.org/surveys/digital-privacy/
us-emissions-regulation__question-c,2026-02-26,US,Emissions Regulation,Question C,Agree,0.930000,90.24,0.960000,0.000000,0.030000,"Since the environmental costs of greenhouse gas emissions are globally distributed, some form of collective international regulation is warranted.",https://kentclarkcenter.org/surveys/emissions-regulation/
